service,Connector String,percent_uptime,New Relic Log Link,Create Exclusion Height Ticket
anaplan,Okta/Warehouse/anaplan/anaplan,0.9622178412355814,"=HYPERLINK(""https://one.newrelic.com/launcher/logger.log-launcher?launcher=eyJxdWVyeSI6ICJsYWJlbHMuYXBwLmt1YmVybmV0ZXMuaW8vbmFtZTonZG9ua2V5JyBPUiBsYWJlbHMuYXBwOmRvbmtleSBsYWJlbHMuY29ubmVjdG9yLWRldGFpbDonT2t0YS9XYXJlaG91c2UvYW5hcGxhbi9hbmFwbGFuJyBsZXZlbDonU0VWRVJFJyIsICJiZWdpbiI6IDE3MDcyNjMyODY0NDAsICJlbmQiOiAxNzA3MzQ5Njg2NDQwLCAiaXNFbnRpdGxlZCI6IHRydWUsICJhdHRycyI6IFsidGltZXN0YW1wIiwgImxldmVsIiwgImV2ZW50X3N1bW1hcnkiLCAibWVzc2FnZSIsICJleGNlcHRpb24iLCAidGltZSJdfQ==&platform[accountId]=2880887&platform[timeRange][begin_time]=1707263286440&platform[timeRange][end_time]=1707349686440"", ""Okta/Warehouse/anaplan/anaplan"")","=HYPERLINK(""https://fivetran.height.app/?newTask=saha-connector-uptime-exclusions-STwOMcjPhK3o"",""Create exclusion ticket"")"
anaplan,Okta/Warehouse/anaplan/anaplan_headcount,0.9986049798084513,"=HYPERLINK(""https://one.newrelic.com/launcher/logger.log-launcher?launcher=eyJxdWVyeSI6ICJsYWJlbHMuYXBwLmt1YmVybmV0ZXMuaW8vbmFtZTonZG9ua2V5JyBPUiBsYWJlbHMuYXBwOmRvbmtleSBsYWJlbHMuY29ubmVjdG9yLWRldGFpbDonT2t0YS9XYXJlaG91c2UvYW5hcGxhbi9hbmFwbGFuX2hlYWRjb3VudCcgbGV2ZWw6J1NFVkVSRSciLCAiYmVnaW4iOiAxNzA3MjYzMjg2NDQwLCAiZW5kIjogMTcwNzM0OTY4NjQ0MCwgImlzRW50aXRsZWQiOiB0cnVlLCAiYXR0cnMiOiBbInRpbWVzdGFtcCIsICJsZXZlbCIsICJldmVudF9zdW1tYXJ5IiwgIm1lc3NhZ2UiLCAiZXhjZXB0aW9uIiwgInRpbWUiXX0=&platform[accountId]=2880887&platform[timeRange][begin_time]=1707263286440&platform[timeRange][end_time]=1707349686440"", ""Okta/Warehouse/anaplan/anaplan_headcount"")","=HYPERLINK(""https://fivetran.height.app/?newTask=saha-connector-uptime-exclusions-STwOMcjPhK3o"",""Create exclusion ticket"")"
anaplan,Louis_Vuitton_Malletier/PRD_datalake/anaplan/lv_bqd_prd_dp_anaplan_normalized,0.7402553309695864,"=HYPERLINK(""https://one.newrelic.com/launcher/logger.log-launcher?launcher=eyJxdWVyeSI6ICJsYWJlbHMuYXBwLmt1YmVybmV0ZXMuaW8vbmFtZTonZG9ua2V5JyBPUiBsYWJlbHMuYXBwOmRvbmtleSBsYWJlbHMuY29ubmVjdG9yLWRldGFpbDonTG91aXNfVnVpdHRvbl9NYWxsZXRpZXIvUFJEX2RhdGFsYWtlL2FuYXBsYW4vbHZfYnFkX3ByZF9kcF9hbmFwbGFuX25vcm1hbGl6ZWQnIGxldmVsOidTRVZFUkUnIiwgImJlZ2luIjogMTcwNzI2MzI4NjQ0MSwgImVuZCI6IDE3MDczNDk2ODY0NDEsICJpc0VudGl0bGVkIjogdHJ1ZSwgImF0dHJzIjogWyJ0aW1lc3RhbXAiLCAibGV2ZWwiLCAiZXZlbnRfc3VtbWFyeSIsICJtZXNzYWdlIiwgImV4Y2VwdGlvbiIsICJ0aW1lIl19&platform[accountId]=2880887&platform[timeRange][begin_time]=1707263286441&platform[timeRange][end_time]=1707349686441"", ""Louis_Vuitton_Malletier/PRD_datalake/anaplan/lv_bqd_prd_dp_anaplan_normalized"")","=HYPERLINK(""https://fivetran.height.app/?newTask=saha-connector-uptime-exclusions-STwOMcjPhK3o"",""Create exclusion ticket"")"
workday,F5_Networks/TST_ENT_RAW/workday/workday.workers,0.999814762986604,"=HYPERLINK(""https://one.newrelic.com/launcher/logger.log-launcher?launcher=eyJxdWVyeSI6ICJsYWJlbHMuYXBwLmt1YmVybmV0ZXMuaW8vbmFtZTonZG9ua2V5JyBPUiBsYWJlbHMuYXBwOmRvbmtleSBsYWJlbHMuY29ubmVjdG9yLWRldGFpbDonRjVfTmV0d29ya3MvVFNUX0VOVF9SQVcvd29ya2RheS93b3JrZGF5LndvcmtlcnMnIGxldmVsOidTRVZFUkUnIiwgImJlZ2luIjogMTcwNzI2MzI4NjQ0MSwgImVuZCI6IDE3MDczNDk2ODY0NDEsICJpc0VudGl0bGVkIjogdHJ1ZSwgImF0dHJzIjogWyJ0aW1lc3RhbXAiLCAibGV2ZWwiLCAiZXZlbnRfc3VtbWFyeSIsICJtZXNzYWdlIiwgImV4Y2VwdGlvbiIsICJ0aW1lIl19&platform[accountId]=2880887&platform[timeRange][begin_time]=1707263286441&platform[timeRange][end_time]=1707349686441"", ""F5_Networks/TST_ENT_RAW/workday/workday.workers"")","=HYPERLINK(""https://fivetran.height.app/?newTask=saha-connector-uptime-exclusions-STwOMcjPhK3o"",""Create exclusion ticket"")"
workday,F5_Networks/TST_ENT_RAW/workday/workday.worker_snapshot,0.9996970464366429,"=HYPERLINK(""https://one.newrelic.com/launcher/logger.log-launcher?launcher=eyJxdWVyeSI6ICJsYWJlbHMuYXBwLmt1YmVybmV0ZXMuaW8vbmFtZTonZG9ua2V5JyBPUiBsYWJlbHMuYXBwOmRvbmtleSBsYWJlbHMuY29ubmVjdG9yLWRldGFpbDonRjVfTmV0d29ya3MvVFNUX0VOVF9SQVcvd29ya2RheS93b3JrZGF5Lndvcmtlcl9zbmFwc2hvdCcgbGV2ZWw6J1NFVkVSRSciLCAiYmVnaW4iOiAxNzA3MjYzMjg2NDQxLCAiZW5kIjogMTcwNzM0OTY4NjQ0MSwgImlzRW50aXRsZWQiOiB0cnVlLCAiYXR0cnMiOiBbInRpbWVzdGFtcCIsICJsZXZlbCIsICJldmVudF9zdW1tYXJ5IiwgIm1lc3NhZ2UiLCAiZXhjZXB0aW9uIiwgInRpbWUiXX0=&platform[accountId]=2880887&platform[timeRange][begin_time]=1707263286441&platform[timeRange][end_time]=1707349686441"", ""F5_Networks/TST_ENT_RAW/workday/workday.worker_snapshot"")","=HYPERLINK(""https://fivetran.height.app/?newTask=saha-connector-uptime-exclusions-STwOMcjPhK3o"",""Create exclusion ticket"")"
workday,F5_Networks/TST_ENT_RAW/workday/workday.futurehires,0.9988154450499208,"=HYPERLINK(""https://one.newrelic.com/launcher/logger.log-launcher?launcher=eyJxdWVyeSI6ICJsYWJlbHMuYXBwLmt1YmVybmV0ZXMuaW8vbmFtZTonZG9ua2V5JyBPUiBsYWJlbHMuYXBwOmRvbmtleSBsYWJlbHMuY29ubmVjdG9yLWRldGFpbDonRjVfTmV0d29ya3MvVFNUX0VOVF9SQVcvd29ya2RheS93b3JrZGF5LmZ1dHVyZWhpcmVzJyBsZXZlbDonU0VWRVJFJyIsICJiZWdpbiI6IDE3MDcyNjMyODY0NDEsICJlbmQiOiAxNzA3MzQ5Njg2NDQxLCAiaXNFbnRpdGxlZCI6IHRydWUsICJhdHRycyI6IFsidGltZXN0YW1wIiwgImxldmVsIiwgImV2ZW50X3N1bW1hcnkiLCAibWVzc2FnZSIsICJleGNlcHRpb24iLCAidGltZSJdfQ==&platform[accountId]=2880887&platform[timeRange][begin_time]=1707263286441&platform[timeRange][end_time]=1707349686441"", ""F5_Networks/TST_ENT_RAW/workday/workday.futurehires"")","=HYPERLINK(""https://fivetran.height.app/?newTask=saha-connector-uptime-exclusions-STwOMcjPhK3o"",""Create exclusion ticket"")"
workday,F5_Networks/TST_ENT_RAW/workday/workday.candidates,0.9988012812714591,"=HYPERLINK(""https://one.newrelic.com/launcher/logger.log-launcher?launcher=eyJxdWVyeSI6ICJsYWJlbHMuYXBwLmt1YmVybmV0ZXMuaW8vbmFtZTonZG9ua2V5JyBPUiBsYWJlbHMuYXBwOmRvbmtleSBsYWJlbHMuY29ubmVjdG9yLWRldGFpbDonRjVfTmV0d29ya3MvVFNUX0VOVF9SQVcvd29ya2RheS93b3JrZGF5LmNhbmRpZGF0ZXMnIGxldmVsOidTRVZFUkUnIiwgImJlZ2luIjogMTcwNzI2MzI4NjQ0MSwgImVuZCI6IDE3MDczNDk2ODY0NDEsICJpc0VudGl0bGVkIjogdHJ1ZSwgImF0dHJzIjogWyJ0aW1lc3RhbXAiLCAibGV2ZWwiLCAiZXZlbnRfc3VtbWFyeSIsICJtZXNzYWdlIiwgImV4Y2VwdGlvbiIsICJ0aW1lIl19&platform[accountId]=2880887&platform[timeRange][begin_time]=1707263286441&platform[timeRange][end_time]=1707349686441"", ""F5_Networks/TST_ENT_RAW/workday/workday.candidates"")","=HYPERLINK(""https://fivetran.height.app/?newTask=saha-connector-uptime-exclusions-STwOMcjPhK3o"",""Create exclusion ticket"")"
workday,Duckcreek/SnowflakePC/workday/workday_dc_time_entries_with_comments.workday_dc_time_entries_with_comments,0.9927753005341324,"=HYPERLINK(""https://one.newrelic.com/launcher/logger.log-launcher?launcher=eyJxdWVyeSI6ICJsYWJlbHMuYXBwLmt1YmVybmV0ZXMuaW8vbmFtZTonZG9ua2V5JyBPUiBsYWJlbHMuYXBwOmRvbmtleSBsYWJlbHMuY29ubmVjdG9yLWRldGFpbDonRHVja2NyZWVrL1Nub3dmbGFrZVBDL3dvcmtkYXkvd29ya2RheV9kY190aW1lX2VudHJpZXNfd2l0aF9jb21tZW50cy53b3JrZGF5X2RjX3RpbWVfZW50cmllc193aXRoX2NvbW1lbnRzJyBsZXZlbDonU0VWRVJFJyIsICJiZWdpbiI6IDE3MDcyNjMyODY0NDEsICJlbmQiOiAxNzA3MzQ5Njg2NDQxLCAiaXNFbnRpdGxlZCI6IHRydWUsICJhdHRycyI6IFsidGltZXN0YW1wIiwgImxldmVsIiwgImV2ZW50X3N1bW1hcnkiLCAibWVzc2FnZSIsICJleGNlcHRpb24iLCAidGltZSJdfQ==&platform[accountId]=2880887&platform[timeRange][begin_time]=1707263286441&platform[timeRange][end_time]=1707349686441"", ""Duckcreek/SnowflakePC/workday/workday_dc_time_entries_with_comments.workday_dc_time_entries_with_comments"")","=HYPERLINK(""https://fivetran.height.app/?newTask=saha-connector-uptime-exclusions-STwOMcjPhK3o"",""Create exclusion ticket"")"
workday,Databricks_34/BSE_HR_Data_Dev/workday/workday.compensation,0.9768204946629754,"=HYPERLINK(""https://one.newrelic.com/launcher/logger.log-launcher?launcher=eyJxdWVyeSI6ICJsYWJlbHMuYXBwLmt1YmVybmV0ZXMuaW8vbmFtZTonZG9ua2V5JyBPUiBsYWJlbHMuYXBwOmRvbmtleSBsYWJlbHMuY29ubmVjdG9yLWRldGFpbDonRGF0YWJyaWNrc18zNC9CU0VfSFJfRGF0YV9EZXYvd29ya2RheS93b3JrZGF5LmNvbXBlbnNhdGlvbicgbGV2ZWw6J1NFVkVSRSciLCAiYmVnaW4iOiAxNzA3MjYzMjg2NDQxLCAiZW5kIjogMTcwNzM0OTY4NjQ0MSwgImlzRW50aXRsZWQiOiB0cnVlLCAiYXR0cnMiOiBbInRpbWVzdGFtcCIsICJsZXZlbCIsICJldmVudF9zdW1tYXJ5IiwgIm1lc3NhZ2UiLCAiZXhjZXB0aW9uIiwgInRpbWUiXX0=&platform[accountId]=2880887&platform[timeRange][begin_time]=1707263286441&platform[timeRange][end_time]=1707349686441"", ""Databricks_34/BSE_HR_Data_Dev/workday/workday.compensation"")","=HYPERLINK(""https://fivetran.height.app/?newTask=saha-connector-uptime-exclusions-STwOMcjPhK3o"",""Create exclusion ticket"")"
workday,F5_Networks/STG_ENT_RAW/workday/workday.worker_snapshot,0.9899942072320245,"=HYPERLINK(""https://one.newrelic.com/launcher/logger.log-launcher?launcher=eyJxdWVyeSI6ICJsYWJlbHMuYXBwLmt1YmVybmV0ZXMuaW8vbmFtZTonZG9ua2V5JyBPUiBsYWJlbHMuYXBwOmRvbmtleSBsYWJlbHMuY29ubmVjdG9yLWRldGFpbDonRjVfTmV0d29ya3MvU1RHX0VOVF9SQVcvd29ya2RheS93b3JrZGF5Lndvcmtlcl9zbmFwc2hvdCcgbGV2ZWw6J1NFVkVSRSciLCAiYmVnaW4iOiAxNzA3MjYzMjg2NDQxLCAiZW5kIjogMTcwNzM0OTY4NjQ0MSwgImlzRW50aXRsZWQiOiB0cnVlLCAiYXR0cnMiOiBbInRpbWVzdGFtcCIsICJsZXZlbCIsICJldmVudF9zdW1tYXJ5IiwgIm1lc3NhZ2UiLCAiZXhjZXB0aW9uIiwgInRpbWUiXX0=&platform[accountId]=2880887&platform[timeRange][begin_time]=1707263286441&platform[timeRange][end_time]=1707349686441"", ""F5_Networks/STG_ENT_RAW/workday/workday.worker_snapshot"")","=HYPERLINK(""https://fivetran.height.app/?newTask=saha-connector-uptime-exclusions-STwOMcjPhK3o"",""Create exclusion ticket"")"
